MXene (mg/mL),Laminin peptide (ug/mL),Electric stimulation (Hz),Voltage (V),Cell viability (%),Cell viability Index
0.19813488912869248,50.00264101107923,0.0,0.0,96.0,1.0
0.2996134851277676,0.0,0.0,0.0,101.0,1.0
0.09875343847588042,0.0,0.5018762641732879,2.9962796794352893,30.0,0.0
0.0,50.000965049369974,0.9981260330691156,3.0,56.0,0.0
0.20335444905444788,49.99572618516169,0.4968665595985722,2.003203125094974,60.0,0.5
0.3,50.00357546808749,0.0,0.0020288376033011364,94.0,1.0
0.20026400489346927,50.00044203607134,0.49987305511327657,0.9995906745883297,67.0,0.5
0.22779492411331792,40.00236012023302,0.004119498345180485,0.0,155.11757,1.0
0.20160772466302307,149.99701707481944,2.004394943121896,1.0041476884045617,49.0,0.0
0.1968729458743991,50.00013038054932,0.4984875852020757,1.0013613200246745,67.0,0.5
0.19964846385173005,49.99717591240159,2.001658076179883,0.10298957602706066,67.0,0.5
0.19534598939829,0.0,0.5014887640028335,0.9976168283754641,65.0,0.5
0.202153737510246,149.9986983561235,0.0013309262770132234,0.0,101.0,1.0
0.0,149.99738793668206,0.49925412338205793,0.09930226357566303,91.0,1.0
0.2038967770843329,0.00673811687529389,3.0,0.09735026731608369,70.0,0.5
0.10321530435619947,0.0,1.9981701408814092,1.0035216739541253,84.0,1.0
0.19737471012241994,50.001180923952354,0.0005646486242270899,0.0006779113344425453,96.0,1.0
0.2963993042964549,150.0,2.9990235326380543,3.0,51.0,0.0
0.10222566402082167,0.00037266411407305177,1.0035930296414852,0.1015294714118459,79.0,0.1
0.0,0.003736867998425141,0.4972615902357834,1.9958499384775243,47.0,0.0
0.0002511522042186164,49.99699876480729,1.0022766744098364,2.997995771748947,56.0,0.0
0.2410618066089324,39.99878484771315,0.0009729822870544344,0.0002552185824373326,144.0,1.0
0.3,150.0,2.001339775616523,3.0,47.0,0.0
0.3,49.998510121424204,0.5001671945803661,0.10054544401635158,100.0,1.0
0.10233673837192483,149.9936409869628,3.0,3.0,28.0,0.0
0.20478634433837947,1.0985351087234674e-05,2.001674169159231,0.10052376770089662,67.0,0.5
0.19861880152007147,149.9994937172743,0.0,0.0,101.0,1.0
0.1987773553865885,149.99794841821753,3.0,3.0,25.0,0.0
0.3,0.0,0.0007107017183193505,0.0,101.0,1.0
0.00022937556111649174,150.0,0.5020588301067221,0.09607864432401965,91.0,1.0
0.06083454343324208,50.000628264786776,1.502247760845643,1.4989598042913403,61.0,0.5
0.09966502204582148,49.99630410112933,2.002278021463287,0.10095660771018479,96.0,1.0
0.19894841994147472,149.99434087656286,0.0,0.0,96.0,1.0
0.07423824240164566,40.00287473681889,0.9991520292012839,1.49750088851334,77.0,0.5
0.20107718508408962,150.0,1.0003890992901203,3.0,29.0,0.0
0.0056480354298124626,149.99330906345378,2.0032158489097873,2.0021945987132135,83.0,1.0
0.2060486176274168,0.0,0.9965687043759385,3.0,35.0,0.0
0.0023832392622253912,49.99895290838097,0.9974149294505887,0.10021254083767013,85.0,1.0
0.0032387653837170896,49.99411878909416,0.0,0.0007719499265850462,102.0,1.0
0.10171890135321887,0.0,2.0008136475492257,0.9965192159230286,84.0,1.0
0.0,0.0,3.0,1.001922585811568,96.0,1.0
0.19894719658200447,149.99906384546395,0.500320873230034,1.9979988346408835,56.0,0.0
0.00019712117061795314,0.0,0.9973755891297148,2.9997431276822932,56.0,0.0
0.09996718264315327,150.0,1.0049057476652798,0.994309153526679,78.0,0.5
0.0033450274379191506,50.004001260891,0.5002947811612647,0.10659536125465435,85.0,1.0
0.10238867623333046,49.995218769527426,1.000232205905821,0.10102697602370563,90.0,1.0
0.0,0.0,3.0,1.0033335911246786,96.0,1.0
0.0986266440859607,50.00125119393248,0.0,0.0,94.0,1.0
0.09709617195999543,0.000628709893701036,1.0036336239740198,2.004911583776521,51.0,0.0
0.19940391558709367,50.00256040365686,3.0,2.000986668567123,38.0,0.0
0.19947174169034124,0.0,0.4960287178558949,0.9935078103712235,65.0,0.5
0.24834039800180305,50.001203052546536,2.9979868546249886,1.0003903327001356,51.08921,0.0
0.006886477100900953,50.001010940738105,0.0001339511909720918,0.0,102.0,1.0
0.3,0.004366301055315059,0.0,0.00043768804446890625,101.0,1.0
0.060785278238396696,50.00121501144784,1.5013130137493567,1.5003141550620802,61.0,0.5
0.10056088108039361,49.99216574463136,0.0024039694459406145,0.0,94.0,1.0
0.29902803774856257,49.99983723353441,0.5010447268947902,1.002824765262355,51.0,0.0
0.3,149.99337410639814,2.9982165658628173,2.000871582645805,43.0,0.0
0.3,0.0,1.996483481574472,0.09975736247085007,61.0,0.5
0.20025164787419886,149.99866521583343,0.9982337181154858,3.0,29.0,0.0
0.0,49.99801442792808,0.4983547188338186,0.9992625393129002,84.0,1.0
0.2007593760786052,150.0,0.9963965070481963,0.1029571070074519,66.0,0.5
0.10162006075529244,150.0,0.5020623927332702,1.0005927543919675,88.0,1.0
0.3,150.0,0.002917529568066948,0.0,98.0,1.0
0.0406331732990181,0.0,0.5030819720061904,1.0041839952689326,47.0,0.0
0.07014274594253261,19.995385295170735,2.0050758619640336,1.501234489009308,52.42047,0.0
0.006223775427293086,0.002031895883907392,0.4963447149379898,0.09867710113952442,79.0,0.5
0.1691740573342367,110.00122564953358,0.004315836473986615,0.0019834716835443766,193.56846,1.0
0.2983155484373809,149.99690009341535,0.0,0.0,98.0,1.0
0.10658939759810973,150.0,3.0,0.10412045386193292,69.0,0.5
0.20287422252718418,50.004420430522465,0.49856691841621315,1.0032755101217359,67.0,0.5
0.3,50.00284426707734,0.9977891918881435,3.0,45.0,0.0
0.3,50.00094846060239,1.0004873972232924,0.9942284936834087,64.0,0.5
0.10291467161362176,49.99650070871487,2.0004761867308036,0.09823634575801836,96.0,1.0
0.2970366197077465,0.0,0.9991609389692393,2.9956402838627914,42.0,0.0
0.3,0.0014922417974139138,0.0,0.003853530508185837,78.0,0.5
0.0,49.99570957768196,1.0016606940052293,0.10210795287985189,85.0,1.0
0.3,150.0,3.0,0.0998170730833247,87.0,1.0
0.003092483781626836,149.99707340510977,0.9962824085358654,2.998500822043011,75.0,0.5
0.3,149.99848308929626,0.0,0.0,95.0,1.0
0.2008672454316192,50.00115625523835,0.0009211627193060779,0.0,96.0,1.0
0.0033635013386941115,50.00004819351981,0.005996628868211686,0.003940915594045614,102.0,1.0
0.2980542784706901,0.0010449854825917409,0.49776289765105397,2.00040471651956,35.0,0.0
0.3,0.0015397921560866214,0.0036242288809342246,0.0,101.0,1.0
0.3,0.0,0.0065954279443807195,0.0037364121383131315,101.0,1.0
0.06669224329265785,100.0019556463234,0.9957548118878551,1.4992768247496064,64.41909,0.5
0.09728986323167121,150.0,1.0006803632588388,3.0,33.0,0.0
0.0001362092395205155,0.0006131737958413547,3.0,2.9954819639613968,52.0,0.0
0.10071133126810111,149.9976804183169,0.0,5.7819259448035447e-05,101.0,1.0
0.0,50.00045630830792,2.0019899551237605,0.9978585554633452,97.0,1.0
0.1047023077295322,149.99957950363682,2.0008238496029596,2.000654636331225,60.0,0.5
0.197666839270224,149.9998967568892,0.0,0.002060511494125399,101.0,1.0
0.10052592579919098,150.0,1.0001178040753662,1.9919294531067946,83.0,1.0
0.10305136713932878,50.00067966680728,1.9994707447590843,1.9943914446040214,58.0,0.0
0.09896340266727756,150.0,0.5003112937834431,1.0039951870178394,88.0,1.0
0.20148495925570317,0.0031615395986972204,3.0,0.10032606284429559,70.0,0.5
0.0999988055744805,150.0,2.004696523817253,0.10185508046355873,70.0,0.5
0.29569424096873226,0.005408535228068366,0.0,0.0006519451938214045,101.0,1.0
0.2965361585908788,49.999653499444506,0.0,6.326514462108662e-05,96.0,1.0
0.20329840805880336,50.004192393369685,3.0,1.001835283257588,39.0,0.0
0.20005556068944033,149.9997459719361,0.5022219168870625,0.9968515333448112,50.0,0.0
0.0019784687581619453,50.00159838054258,0.49981024157942006,0.10368442817826407,85.0,1.0
0.08462807025760599,110.00191558206863,1.4998723583152485,1.0025275482819813,53.0,0.0
0.3,0.0005159862061923885,2.0000536197241,1.0013842488366438,79.0,0.5
0.10047601467574493,0.0,0.501809386526756,1.9988736186489968,74.0,0.5
0.12053252675923423,60.00119745911924,1.9988735896064957,1.5029290860161206,91.0,1.0
0.04209214244022044,139.99392200774383,2.49764618909993,1.5006889196435542,67.0,0.5
0.0,150.0,0.9967460971865977,0.99789193149642,107.0,1.0
0.3,50.00312984747175,1.9972366166921112,2.994646609662579,47.0,0.0
0.3,50.0014234212491,0.9970595989387143,3.0,45.0,0.0
0.09792030746300641,150.0,0.5050400618192654,1.9996361198366868,80.0,1.0
